date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:59	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%2263f5f1c2-154%22	https://www.classcentral.com/robots.txt		(from )
22:23:01	664870/664870	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Feb%202023%2019:23:00%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/index.html	(from )
22:23:01	975/975	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
22:23:01	2206/2206	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
22:23:01	731/731	U-----	200	untouched ('')	image/png	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
22:23:01	9463/9463	U-----	200	untouched ('')	image/png	date:Mon,%2020%20Feb%202023%2019:49:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/Deneme%206/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
22:23:02	673/673	U-----	200	untouched ('')	application/octet-stream	etag:%2263f5f1c2-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
22:23:02	1960/1960	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%2263f5f32c-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
22:23:02	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
22:23:03	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
22:23:03	913/913	U--MCZ	200	updated ('OK')	text/xml	etag:W/%2263f5f32c-391%22	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
22:23:03	1488/1488	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
22:23:03	5588/5588	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
22:23:03	12520/12520	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
22:23:04	840157/840157	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2019:23:03%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/subject/business.html	(from https://www.classcentral.com/)
22:23:04	15280/15280	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
22:23:04	9684/9684	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
22:23:04	6868/6868	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
22:23:05	7376/7376	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
22:23:05	8444/8444	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
22:23:05	5804/5804	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
22:23:05	14960/14960	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
22:23:06	16112/16112	U-----	200	untouched ('')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
22:23:06	6816/6816	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
22:23:06	825979/825979	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2019:23:05%20GMT	https://www.classcentral.com/subject/humanities	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/subject/humanities.html	(from https://www.classcentral.com/)
22:23:06	9696/9696	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
22:23:06	7244/7244	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
22:23:06	8248/8248	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
